"month","postcodes","energy_standardized","centroid","energy_centroid","sbd_condition"
1,1000,2.07127046595271,4,1.7474738551381,"Normal"
2,1000,0.39607011251321,4,0.280815401834566,"Normal"
3,1000,0.24533324134581,4,0.359241955204746,"Normal"
4,1000,-1.75127927898758,4,-1.1007873210884,"Normal"
5,1000,-0.894770900965957,4,-0.884585954745308,"Normal"
6,1000,-0.507789758707676,4,-0.910184695061663,"Normal"
7,1000,0.0359912588108737,4,-0.487721445793424,"Normal"
8,1000,-0.267326367294337,4,-0.501471686058815,"Normal"
9,1000,-0.530593671948899,4,-0.811204776559311,"Normal"
10,1000,0.0777925769805528,4,-0.0395531130682662,"Normal"
11,1000,-0.266155650134728,4,0.463250432727594,"Normal"
12,1000,1.39145797243602,4,1.88472734747018,"Normal"
1,1050,0.587051529755759,1,-0.117097301339951,"Normal"
2,1050,-1.39463025818999,1,-0.904647044019694,"Normal"
3,1050,-0.463391429068929,1,-0.719602688073658,"Normal"
4,1050,-1.49934620269557,1,-1.03231769038816,"Normal"
5,1050,-0.381538872466014,1,-0.398648377953523,"Normal"
6,1050,0.267915342059958,1,0.23737225003172,"Normal"
7,1050,1.51516994524435,1,1.82470308459313,"Normal"
8,1050,1.5115797797389,1,2.02857538171229,"Normal"
9,1050,0.393888113376023,1,0.2811244684223,"Normal"
10,1050,0.490092098729553,1,-0.342933490461208,"Normal"
11,1050,-1.0267931855896,1,-0.853125217105535,"Normal"
12,1050,3.13910555100144e-06,1,-0.00340337541770287,"Normal"
1,1070,1.6217114263528,2,1.49179873833799,"Normal"
2,1070,-0.791810637169646,2,-0.0835842789879939,"Normal"
3,1070,-0.169150641568182,2,-0.0570467517226409,"Normal"
4,1070,-1.88828836514858,2,-1.448119846376,"Normal"
5,1070,-0.851650179944511,2,-1.12674080520377,"Normal"
6,1070,-0.304163898531191,2,-0.933443083453534,"Normal"
7,1070,0.51358493723189,2,0.0692444265251755,"Normal"
8,1070,0.746296710346838,2,0.476026090329549,"Normal"
9,1070,-0.168976475187583,2,-0.544614589685897,"Normal"
10,1070,0.670655989964205,2,-0.0649799831600339,"Normal"
11,1070,-0.647917889540085,2,0.237025741251988,"Normal"
12,1070,1.26970902319404,2,1.98443434214516,"Normal"
1,1100,0.30841115165095,1,-0.117097301339951,"Normal"
2,1100,-0.916560914363299,1,-0.904647044019694,"Normal"
3,1100,-0.671557167925186,1,-0.719602688073658,"Normal"
4,1100,-1.72482291764192,1,-1.03231769038816,"Normal"
5,1100,-0.726314209154266,1,-0.398648377953523,"Normal"
6,1100,0.138908403748749,1,0.23737225003172,"Normal"
7,1100,1.43885841276205,1,1.82470308459313,"Normal"
8,1100,1.57864675457837,1,2.02857538171229,"Normal"
9,1100,0.54757351815278,1,0.2811244684223,"Normal"
10,1100,0.405614753132785,1,-0.342933490461208,"Normal"
11,1100,-0.894162450184535,1,-0.853125217105535,"Normal"
12,1100,0.515404665243525,1,-0.00340337541770287,"Normal"
1,1150,1.82746415554029,3,0.149122157313269,"Outlier"
2,1150,0.206915956433843,3,0.100061216491442,"Outlier"
3,1150,-0.156343811349363,3,1.47135698981228,"Outlier"
4,1150,-1.894362574268,3,-0.499257007968101,"Outlier"
5,1150,-1.01959494235447,3,-0.0931449799261358,"Outlier"
6,1150,-0.373526127231018,3,-2.15209152436545,"Outlier"
7,1150,0.555807257833441,3,-0.965014780356761,"Outlier"
8,1150,0.611588954320871,3,-0.440023549805366,"Outlier"
9,1150,-0.247365646122534,3,1.00974478799044,"Outlier"
10,1150,0.0337420166709767,3,1.31104916286668,"Outlier"
11,1150,-0.766220262855997,3,-0.0946718977880253,"Outlier"
12,1150,1.22189502338195,3,0.202869425735724,"Outlier"
1,1170,1.79688839837227,4,1.7474738551381,"Normal"
2,1170,1.02871728078167,4,0.280815401834566,"Normal"
3,1170,0.344221413042823,4,0.359241955204746,"Normal"
4,1170,-0.989037241126173,4,-1.1007873210884,"Normal"
5,1170,-0.817466934501597,4,-0.884585954745308,"Normal"
6,1170,-0.798897074115778,4,-0.910184695061663,"Normal"
7,1170,-0.587121533998401,4,-0.487721445793424,"Normal"
8,1170,-0.659046763896556,4,-0.501471686058815,"Normal"
9,1170,-0.771161501467351,4,-0.811204776559311,"Normal"
10,1170,-0.308255357371273,4,-0.0395531130682662,"Normal"
11,1170,0.0774127237036852,4,0.463250432727594,"Normal"
12,1170,1.68374659057668,4,1.88472734747018,"Normal"
1,1200,1.40670598045178,3,0.149122157313269,"Outlier"
2,1200,-0.228634903572391,3,0.100061216491442,"Outlier"
3,1200,-0.103197978919275,3,1.47135698981228,"Outlier"
4,1200,-1.99870330044204,3,-0.499257007968101,"Outlier"
5,1200,-1.06501932382652,3,-0.0931449799261358,"Outlier"
6,1200,-0.331401912388643,3,-2.15209152436545,"Outlier"
7,1200,0.727032825265389,3,-0.965014780356761,"Outlier"
8,1200,0.64662011297422,3,-0.440023549805366,"Outlier"
9,1200,-0.204990843757944,3,1.00974478799044,"Outlier"
10,1200,0.140349472528144,3,1.31104916286668,"Outlier"
11,1200,-0.543100644839129,3,-0.0946718977880253,"Outlier"
12,1200,1.55434051652641,3,0.202869425735724,"Outlier"
1,1250,1.1853838136479,1,-0.117097301339951,"Normal"
2,1250,-0.719489727182372,1,-0.904647044019694,"Normal"
3,1250,-0.503054261835278,1,-0.719602688073658,"Normal"
4,1250,-2.05542296489304,1,-1.03231769038816,"Normal"
5,1250,-0.698410400013818,1,-0.398648377953523,"Normal"
6,1250,0.182241610433185,1,0.23737225003172,"Normal"
